Title,Title,Budget,Revenue,BD Ratio,IMDB score
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,170000000,710644566,4.180262153,7.60
47 Ronin,47 Ronin,175000000,150962475,0.862642714,6.20
Captain America: The Winter Soldier,Captain America: The Winter Soldier,170000000,714766572,4.204509247,7.70
Shrek Forever After,Shrek Forever After,165000000,752600867,4.561217376,6.30
Tomorrowland,Tomorrowland,190000000,209154322,1.100812221,6.40
Big Hero 6,Big Hero 6,165000000,652105443,3.9521542,7.80
Wreck-It Ralph,Wreck-It Ralph,165000000,471222889,2.855896297,7.70
The Polar Express,The Polar Express,165000000,305875730,1.853792303,6.60
Independence Day: Resurgence,Independence Day: Resurgence,165000000,389681935,2.361708697,5.20
How to Train Your Dragon,How to Train Your Dragon,165000000,494878759,2.999265206,8.10
Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,200000000,435000000,2.175,6.30
Guardians of the Galaxy,Guardians of the Galaxy,170000000,773328629,4.548991935,8.00
Interstellar,Interstellar,165000000,675120017,4.091636467,8.60
Inception,Inception,160000000,825532764,5.159579775,8.80
Shin Godzilla,Shin Godzilla,15000000,77000000,5.133333333,6.70
The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey,250000000,1021103568,4.084414272,7.80
The Fast and the Furious,The Fast and the Furious,38000000,207283925,5.454840132,6.80
The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,150000000,333932083,2.226213887,7.80
X-Men: First Class,X-Men: First Class,160000000,353624124,2.210150775,7.70
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,160000000,653428261,4.083926631,6.50
The Sorcerer's Apprentice,The Sorcerer's Apprentice,150000000,215283742,1.435224947,6.10
Poseidon,Poseidon,160000000,181674817,1.135467606,5.60
Alice Through the Looking Glass,Alice Through the Looking Glass,170000000,299370084,1.761000494,6.20
Shrek the Third,Shrek the Third,160000000,798958165,4.993488531,6.00
Warcraft,Warcraft,160000000,433677183,2.710482394,6.80
Terminator Genisys,Terminator Genisys,155000000,440603537,2.842603465,6.40
The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,2.681846561,6.30
Pearl Harbor,Pearl Harbor,140000000,449220945,3.208721036,6.20
Transformers,Transformers,150000000,709709780,4.731398533,7.00
Alexander,Alexander,155000000,167298192,1.079343174,5.60
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,150000000,938212738,6.254751587,7.50
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,150000000,895921036,5.972806907,7.70
Hancock,Hancock,150000000,624029371,4.160195807,6.40
I Am Legend,I Am Legend,150000000,585349010,3.902326733,7.20
Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,150000000,474968763,3.16645842,6.60
Ratatouille,Ratatouille,150000000,623722818,4.15815212,8.00
Batman Begins,Batman Begins,150000000,374218673,2.494791153,8.20
Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,150000000,603900354,4.02600236,6.60
Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian,150000000,413106170,2.754041133,6.00
X-Men Origins: Wolverine,X-Men Origins: Wolverine,150000000,373062864,2.48708576,6.60
The Matrix Revolutions,The Matrix Revolutions,150000000,424988211,2.83325474,6.70
Frozen,Frozen,150000000,1274219009,8.494793393,7.50
The Matrix Reloaded,The Matrix Reloaded,150000000,738599701,4.923998007,7.20
Thor: The Dark World,Thor: The Dark World,170000000,644571402,3.791596482,6.90
Mad Max: Fury Road,Mad Max: Fury Road,150000000,378858340,2.525722267,8.10
Angels & Demons,Angels & Demons,150000000,356613439,2.377422927,6.70
Thor,Thor,150000000,449326618,2.995510787,7.00
Bolt,Bolt,150000000,309979994,2.066533293,6.80
G-Force,G-Force,150000000,292817841,1.95211894,5.10
Wrath of the Titans,Wrath of the Titans,150000000,301000000,2.006666667,5.70
Dark Shadows,Dark Shadows,150000000,245527149,1.63684766,6.20
Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,150000000,682330139,4.548867593,7.40
Bee Movie,Bee Movie,150000000,287594577,1.91729718,6.10
Kung Fu Panda 2,Kung Fu Panda 2,150000000,665692281,4.43794854,7.20
The Last Airbender,The Last Airbender,150000000,318502923,2.12335282,4.10
Mission: Impossible III,Mission: Impossible III,150000000,397850012,2.652333413,6.90
White House Down,White House Down,150000000,205366737,1.36911158,6.40
Mars Needs Moms,Mars Needs Moms,150000000,38992758,0.25995172,5.40
Flushed Away,Flushed Away,149000000,64459316,0.432612859,6.60
Pan,Pan,150000000,128388320,0.855922133,5.70
Mr. Peabody & Sherman,Mr. Peabody & Sherman,145000000,272912430,1.88215469,6.80
Troy,Troy,175000000,497409852,2.842342011,7.20
Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,145000000,746921274,5.1511812,6.80
Die Another Day,Die Another Day,140000000,431971116,3.085507971,6.10
Ghostbusters,Ghostbusters,144000000,229147509,1.591302146,7.80
Armageddon,Armageddon,140000000,553799566,3.955711186,6.70
Men in Black II,Men in Black II,140000000,441818803,3.155848593,6.20
Beowulf,Beowulf,70000000,195735876,2.7962268,6.20
Kung Fu Panda 3,Kung Fu Panda 3,145000000,521170825,3.594281552,7.10
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,145000000,694713380,4.791126759,7.40
Rise of the Guardians,Rise of the Guardians,145000000,306941670,2.116839103,7.30
Fun with Dick and Jane,Fun with Dick and Jane,100000000,202026112,2.02026112,6.10
The Last Samurai,The Last Samurai,140000000,456758981,3.26256415,7.70
Exodus: Gods and Kings,Exodus: Gods and Kings,140000000,268031828,1.914513057,6.00
Star Trek,Star Trek,150000000,385680446,2.571202973,7.90
Spider-Man,Spider-Man,139000000,821708551,5.911572309,7.30
How to Train Your Dragon 2,How to Train Your Dragon 2,145000000,609123048,4.200848607,7.80
Gods of Egypt,Gods of Egypt,140000000,150680864,1.076291886,5.40
Stealth,Stealth,135000000,76932943,0.569873652,5.10
Watchmen,Watchmen,130000000,185258983,1.4250691,7.60
Lethal Weapon 4,Lethal Weapon 4,140000000,285444603,2.038890021,6.60
Hulk,Hulk,137000000,245360480,1.790952409,5.60
G.I. Joe: Retaliation,G.I. Joe: Retaliation,130000000,371876278,2.860586754,5.80
Sahara,Sahara,130000000,119269486,0.917457585,6.00
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,137000000,85131830,0.621400219,6.40
Captain America: The First Avenger,Captain America: The First Avenger,140000000,370569774,2.646926957,6.90
The World Is Not Enough,The World Is Not Enough,135000000,361832400,2.68024,6.40
Master and Commander: The Far Side of the World,Master and Commander: The Far Side of the World,150000000,212011111,1.413407407,7.40
The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,120000000,829000000,6.908333333,5.50
Happy Feet Two,Happy Feet Two,130000000,150406466,1.156972815,5.90
The Incredible Hulk,The Incredible Hulk,150000000,163712074,1.091413827,6.70
The BFG,The BFG,140000000,183345589,1.30961135,6.40
The Revenant,The Revenant,135000000,532950503,3.947781504,8.00
Turbo,Turbo,135000000,282570682,2.093116163,6.40
Rango,Rango,135000000,245724603,1.820182244,7.20
Penguins of Madagascar,Penguins of Madagascar,132000000,373552094,2.829940106,6.70
The Bourne Ultimatum,The Bourne Ultimatum,70000000,442824138,6.326059114,8.00
Kung Fu Panda,Kung Fu Panda,130000000,631744560,4.859573538,7.50
Ant-Man,Ant-Man,130000000,519311965,3.994707423,7.30
The Hunger Games: Catching Fire,The Hunger Games: Catching Fire,130000000,847423452,6.518641938,7.50
Home,Home,135000000,368871007,2.73237783,6.60
War of the Worlds,War of the Worlds,132000000,591739379,4.482874083,6.50
Bad Boys II,Bad Boys II,130000000,273339556,2.102611969,6.60
Puss in Boots,Puss in Boots,130000000,554987477,4.269134438,6.60
Salt,Salt,110000000,293329073,2.666627936,6.40
Noah,Noah,125000000,362637473,2.901099784,5.80
The Adventures of Tintin,The Adventures of Tintin,130000000,371940071,2.861077469,7.30
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,130000000,789804554,6.075419646,7.90
Australia,Australia,130000000,49554002,0.381184631,6.60
After Earth,After Earth,130000000,243843127,1.875716362,4.80
Dinosaur,Dinosaur,127500000,354248063,2.77841618,6.50
Night at the Museum: Secret of the Tomb,Night at the Museum: Secret of the Tomb,127000000,349424282,2.751372299,6.20
Megamind,Megamind,130000000,321887208,2.476055446,7.20
R.I.P.D.,R.I.P.D.,130000000,61648500,0.474219231,5.60
Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,4.6786516,8.00
The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 1,125000000,752100229,6.016801832,6.60
